"month","year","monthly_mean"
1,2001,1.36451370967742
2,2001,1.23967366071429
3,2001,1.4432875
4,2001,1.15722
5,2001,0.878852822580645
6,2001,0.972037083333333
7,2001,0.884508870967742
8,2001,0.819763306451613
9,2001,1.15832875
10,2001,1.4489064516129
11,2001,1.72715916666667
12,2001,1.78042661290323
1,2002,1.97541048387097
2,2002,2.14255491071429
3,2002,1.93569233870968
4,2002,1.68081583333333
5,2002,1.26159798387097
6,2002,1.07061625
7,2002,0.897708064516129
8,2002,0.935447580645161
9,2002,1.22898166666667
10,2002,1.64424677419355
11,2002,2.10348333333333
12,2002,2.03929193548387
1,2003,2.05423951612903
2,2003,1.93764419642857
3,2003,1.5895060483871
4,2003,1.21039166666667
5,2003,1.00521532258065
6,2003,0.804205833333333
7,2003,0.831852419354839
8,2003,0.743638709677419
9,2003,0.903329166666667
10,2003,1.39885483870968
11,2003,1.72778791666667
12,2003,1.80203427419355
1,2004,1.51946532258065
2,2004,1.59711982758621
3,2004,1.35558709677419
4,2004,1.03880333333333
5,2004,0.971212903225806
6,2004,0.730444166666667
7,2004,0.778259677419355
8,2004,0.861334677419355
9,2004,1.1658025
10,2004,1.48132338709677
11,2004,1.70697166666667
12,2004,1.74831935483871
1,2005,1.38265806451613
2,2005,1.28573392857143
3,2005,1.21126612903226
4,2005,1.09945833333333
5,2005,1.04471209677419
6,2005,0.965739166666667
7,2005,0.98396935483871
8,2005,0.9626125
9,2005,1.09181875
10,2005,1.42269516129032
11,2005,1.57829541666667
12,2005,1.50930120967742
1,2006,1.30001491935484
2,2006,1.26803392857143
3,2006,1.2237560483871
4,2006,1.09814833333333
5,2006,0.941825403225806
6,2006,0.83095625
7,2006,0.853821774193548
8,2006,0.867101209677419
9,2006,1.03716541666667
10,2006,1.26754838709677
11,2006,1.51696
12,2006,1.62184677419355
1,2007,2.00404153225806
2,2007,1.95894821428571
3,2007,1.4768935483871
4,2007,1.48314208333333
5,2007,1.35050161290323
6,2007,1.08579333333333
7,2007,0.923177419354839
8,2007,0.835792338709677
9,2007,1.10736458333333
10,2007,1.45037419354839
11,2007,1.78729208333333
12,2007,1.74546411290323
1,2008,1.88125967741935
2,2008,1.87528706896552
3,2008,1.72686532258065
4,2008,1.35161833333333
5,2008,1.03579032258065
6,2008,0.9984
7,2008,0.954015322580645
8,2008,0.99213064516129
9,2008,1.16937208333333
10,2008,1.49030524193548
11,2008,1.71299333333333
12,2008,1.68782741935484
1,2009,1.55015967741935
2,2009,1.71193035714286
3,2009,1.65572258064516
4,2009,1.27487
5,2009,0.981652016129032
6,2009,0.906369583333333
7,2009,0.922897580645161
8,2009,0.898105241935484
9,2009,1.08858375
10,2009,1.29550161290323
11,2009,1.67004291666667
12,2009,2.0074439516129
1,2010,2.42031370967742
2,2010,2.34196875
3,2010,2.1441060483871
4,2010,1.68017541666667
5,2010,1.39429879032258
6,2010,1.15010791666667
7,2010,1.30106370967742
8,2010,1.50242258064516
9,2010,1.2557575
10,2010,1.61316935483871
11,2010,1.68679333333333
12,2010,1.64928387096774
1,2011,1.89119798387097
2,2011,2.12266116071429
3,2011,2.16903225806452
4,2011,1.89447166666667
5,2011,1.48598508064516
6,2011,1.25656541666667
7,2011,1.08335403225806
8,2011,1.10744596774194
9,2011,1.41961333333333
10,2011,1.74219193548387
11,2011,1.86602791666667
12,2011,1.63977298387097
1,2012,1.41526330645161
2,2012,1.87345215517241
3,2012,1.93760443548387
4,2012,1.48189791666667
5,2012,1.27571935483871
6,2012,1.10539125
7,2012,0.955847177419355
8,2012,0.889772580645161
9,2012,1.06727791666667
10,2012,1.53186653225806
11,2012,1.79551291666667
12,2012,1.92739717741935
1,2013,1.88525080645161
2,2013,1.93839375
3,2013,2.02877540322581
4,2013,1.49523708333333
5,2013,1.25801169354839
6,2013,1.12782958333333
7,2013,1.04933387096774
8,2013,1.22159798387097
9,2013,1.30009541666667
10,2013,1.67777419354839
11,2013,2.00863666666667
12,2013,1.7171435483871
1,2014,2.25812822580645
2,2014,2.43754241071429
3,2014,1.97785080645161
4,2014,1.60087875
5,2014,1.21953709677419
6,2014,1.33277083333333
7,2014,1.27207822580645
8,2014,1.15764919354839
9,2014,1.2864625
10,2014,1.81368387096774
11,2014,2.36605916666667
12,2014,2.34794112903226
1,2015,2.42640322580645
2,2015,2.22858571428571
3,2015,2.13197983870968
4,2015,1.82533416666667
5,2015,1.25656733870968
6,2015,1.14655958333333
7,2015,1.04237096774194
8,2015,1.03638225806452
9,2015,1.2719125
10,2015,1.69858064516129
11,2015,2.11176
12,2015,1.96366129032258
1,2016,2.96311814516129
2,2016,2.29393922413793
3,2016,2.52567822580645
4,2016,1.56229083333333
5,2016,1.28133709677419
6,2016,1.17894541666667
7,2016,1.08302620967742
8,2016,1.41508548387097
9,2016,1.52327625
10,2016,1.85301088709677
11,2016,2.20004458333333
12,2016,1.60552298387097
1,2017,2.20720806451613
2,2017,2.72021830357143
3,2017,3.33038870967742
4,2017,1.52224958333333
5,2017,1.12961370967742
6,2017,1.10865666666667
7,2017,1.01024516129032
8,2017,0.977682661290323
9,2017,1.15644375
10,2017,1.54006451612903
11,2017,1.71860375
12,2017,1.57903346774194
1,2018,1.51440322580645
2,2018,1.47824910714286
3,2018,1.81010887096774
4,2018,1.35271666666667
5,2018,1.09916290322581
6,2018,1.04969583333333
7,2018,0.95589435483871
8,2018,1.01085524193548
9,2018,1.24404458333333
10,2018,1.60246774193548
11,2018,1.86037041666667
12,2018,1.75699475806452
1,2019,2.49488951612903
2,2019,3.32036651785714
3,2019,2.17431088709677
4,2019,1.85823083333333
5,2019,1.28877580645161
6,2019,1.21283
7,2019,1.02227903225806
8,2019,1.06386209677419
9,2019,1.1551025
10,2019,1.5827
11,2019,1.84013208333333
12,2019,1.94613185483871
1,2020,2.06404233870968
2,2020,2.04074612068966
3,2020,1.82472943548387
4,2020,1.42770125
5,2020,1.02608870967742
6,2020,1.09975083333333
7,2020,0.995545161290323
8,2020,0.951695161290323
9,2020,1.0707575
10,2020,1.43171612903226
11,2020,1.74363833333333
12,2020,1.75622258064516
1,2021,1.58269314516129
2,2021,1.78701830357143
3,2021,1.60773225806452
4,2021,1.13686166666667
5,2021,1.04068911290323
6,2021,0.860350416666667
7,2021,0.717391935483871
8,2021,0.707472580645161
9,2021,0.865674166666667
10,2021,1.25843225806452
11,2021,1.47424541666667
12,2021,1.61316733870968
1,2022,1.48518064516129
2,2022,1.57719285714286
3,2022,1.5347125
4,2022,1.28034541666667
5,2022,0.803498387096774
6,2022,0.739975833333333
7,2022,0.775459677419355
8,2022,0.820474193548387
9,2022,1.02987583333333
10,2022,1.31178870967742
11,2022,1.38864583333333
12,2022,1.53673425925926
